date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:41:29	5/5	---M--	200	added ('OK')	text/css	etag:%225b47b9a9-5%22	https://p.typekit.net/p.css?s=1&k=kgg1vji&ht=tk&f=8484.8486.24352.24354.24355.39441&a=6819602&app=typekit&e=css	C:/My%20Web%20Sites/yash/p.typekit.net/pddf2.css	(from http://use.typekit.net/kgg1vji.css)
17:41:32	131099/131099	---M--	200	added ('OK')	application/pdf	date:Thu,%2006%20Sep%202018%2017:46:32%20GMT	https://kchang.me/CS221_Final_Paper.pdf	C:/My%20Web%20Sites/yash/kchang.me/CS221_Final_Paper.pdf	(from https://kchang.me/)
17:41:33	1487/1487	---M--	200	added ('OK')	text/css	date:Tue,%2011%20Sep%202018%2018:29:08%20GMT	https://kchang.me/css/about.min.css?v1547345480648	C:/My%20Web%20Sites/yash/kchang.me/css/about.minebce.css	(from https://kchang.me/about)
17:41:33	33764/33764	---M--	200	added ('OK')	text/css	date:Tue,%2011%20Sep%202018%2018:29:08%20GMT	https://kchang.me/css/main.min.css?v1547345480648	C:/My%20Web%20Sites/yash/kchang.me/css/main.minebce.css	(from https://kchang.me/about)
17:41:37	73183/73183	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Sep%202018%2017:46:32%20GMT	https://kchang.me/media/about/ocean_beach.jpg	C:/My%20Web%20Sites/yash/kchang.me/media/about/ocean_beach.jpg	(from https://kchang.me/about)
17:41:38	3134/3134	---M--	200	added ('OK')	text/css	date:Sun,%2013%20Jan%202019%2002:08:31%20GMT	https://kchang.me/css/resume.min.css?v1547345481750	C:/My%20Web%20Sites/yash/kchang.me/css/resume.min005d.css	(from https://kchang.me/resume)
17:41:38	33764/33764	---M--	200	added ('OK')	text/css	date:Tue,%2011%20Sep%202018%2018:29:08%20GMT	https://kchang.me/css/main.min.css?v1547345481750	C:/My%20Web%20Sites/yash/kchang.me/css/main.min005d.css	(from https://kchang.me/resume)
17:41:44	70602/70602	---M--	200	added ('OK')	application/pdf	date:Thu,%2006%20Sep%202018%2017:46:33%20GMT	https://kchang.me/resume.pdf	C:/My%20Web%20Sites/yash/kchang.me/resume.pdf	(from https://kchang.me/resume)
17:41:46	1696/1696	---M--	200	added ('OK')	text/css	date:Tue,%2011%20Sep%202018%2018:29:08%20GMT	https://kchang.me/css/library.min.css?v1547345481657	C:/My%20Web%20Sites/yash/kchang.me/css/library.min04d9.css	(from https://kchang.me/library)
17:41:46	33764/33764	---M--	200	added ('OK')	text/css	date:Tue,%2011%20Sep%202018%2018:29:08%20GMT	https://kchang.me/css/main.min.css?v1547345481657	C:/My%20Web%20Sites/yash/kchang.me/css/main.min04d9.css	(from https://kchang.me/library)
17:41:51	14719/14719	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Sep%202018%2017:46:33%20GMT	https://kchang.me/media/library/books.png	C:/My%20Web%20Sites/yash/kchang.me/media/library/books.png	(from https://kchang.me/library)
17:41:56	20377/20377	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Sep%202018%2017:46:33%20GMT	https://kchang.me/media/library/laughter.jpg	C:/My%20Web%20Sites/yash/kchang.me/media/library/laughter.jpg	(from https://kchang.me/library)
17:42:34	237355/237355	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Sep%202018%2017:46:33%20GMT	https://kchang.me/media/library/cats_cradle.jpg	C:/My%20Web%20Sites/yash/kchang.me/media/library/cats_cradle.jpg	(from https://kchang.me/library)
17:42:49	542405/542405	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Sep%202018%2017:46:33%20GMT	https://kchang.me/media/library/fahrenheit.jpg	C:/My%20Web%20Sites/yash/kchang.me/media/library/fahrenheit.jpg	(from https://kchang.me/library)
